# file...... wh1.csv
# date...... Sat Feb 13 14:03:12 2021
# user...... semae
# host...... (null)
# target.... waterheater 26
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,load_state,heatgain,height,waterheater_model,water_demand,temperature,is_waterheater_on
2021-02-07 11:01:58 PST,DEPLETING,+156.237,+3.78239,ONEZNODE,+0,+119.991,+0
2021-02-07 11:01:59 PST,DEPLETING,+156.236,+3.78239,ONEZNODE,+0,+119.991,+0
2021-02-07 11:02:00 PST,DEPLETING,+156.235,+3.78239,ONEZNODE,+0,+119.991,+0
2021-02-07 11:02:01 PST,DEPLETING,+156.234,+3.78239,ONEZNODE,+0,+119.991,+0
2021-02-07 11:02:02 PST,DEPLETING,+156.233,+3.78239,ONEZNODE,+0,+119.99,+0
2021-02-07 11:02:03 PST,DEPLETING,+156.232,+3.78239,ONEZNODE,+0,+119.99,+0
2021-02-07 11:02:04 PST,DEPLETING,+156.231,+3.78239,ONEZNODE,+0,+119.99,+0
2021-02-07 11:02:05 PST,DEPLETING,+156.23,+3.78239,ONEZNODE,+0,+119.99,+0
2021-02-07 11:02:06 PST,DEPLETING,+156.229,+3.78239,ONEZNODE,+0,+119.99,+0
2021-02-07 11:02:07 PST,DEPLETING,+156.228,+3.78239,ONEZNODE,+0,+119.99,+0
2021-02-07 11:02:08 PST,DEPLETING,+156.227,+3.78239,ONEZNODE,+0,+119.99,+0
2021-02-07 11:02:09 PST,DEPLETING,+156.227,+3.78239,ONEZNODE,+0,+119.99,+0
2021-02-07 11:02:10 PST,DEPLETING,+156.226,+3.78239,ONEZNODE,+0,+119.99,+0
2021-02-07 11:02:11 PST,DEPLETING,+156.225,+3.78239,ONEZNODE,+0,+119.989,+0
2021-02-07 11:02:12 PST,DEPLETING,+156.224,+3.78239,ONEZNODE,+0,+119.989,+0
2021-02-07 11:02:13 PST,DEPLETING,+156.223,+3.78239,ONEZNODE,+0,+119.989,+0
2021-02-07 11:02:14 PST,DEPLETING,+156.222,+3.78239,ONEZNODE,+0,+119.989,+0
2021-02-07 11:02:15 PST,DEPLETING,+156.221,+3.78239,ONEZNODE,+0,+119.989,+0
2021-02-07 11:02:16 PST,DEPLETING,+156.22,+3.78239,ONEZNODE,+0,+119.989,+0
2021-02-07 11:02:17 PST,DEPLETING,+156.219,+3.78239,ONEZNODE,+0,+119.989,+0
2021-02-07 11:02:18 PST,DEPLETING,+156.218,+3.78239,ONEZNODE,+0,+119.989,+0
2021-02-07 11:02:19 PST,DEPLETING,+156.217,+3.78239,ONEZNODE,+0,+119.989,+0
2021-02-07 11:02:20 PST,DEPLETING,+156.216,+3.78239,ONEZNODE,+0,+119.989,+0
2021-02-07 11:02:21 PST,DEPLETING,+156.215,+3.78239,ONEZNODE,+0,+119.988,+0
2021-02-07 11:02:22 PST,DEPLETING,+156.215,+3.78239,ONEZNODE,+0,+119.988,+0
2021-02-07 11:02:23 PST,DEPLETING,+156.214,+3.78239,ONEZNODE,+0,+119.988,+0
2021-02-07 11:02:24 PST,DEPLETING,+156.213,+3.78239,ONEZNODE,+0,+119.988,+0
2021-02-07 11:02:25 PST,DEPLETING,+156.212,+3.78239,ONEZNODE,+0,+119.988,+0
2021-02-07 11:02:26 PST,DEPLETING,+156.211,+3.78239,ONEZNODE,+0,+119.988,+0
2021-02-07 11:02:27 PST,DEPLETING,+156.21,+3.78239,ONEZNODE,+0,+119.988,+0
2021-02-07 11:02:28 PST,DEPLETING,+156.209,+3.78239,ONEZNODE,+0,+119.988,+0
2021-02-07 11:02:29 PST,DEPLETING,+156.208,+3.78239,ONEZNODE,+0,+119.988,+0
2021-02-07 11:02:30 PST,DEPLETING,+156.207,+3.78239,ONEZNODE,+0,+119.988,+0
2021-02-07 11:02:31 PST,DEPLETING,+156.206,+3.78239,ONEZNODE,+0,+119.987,+0
2021-02-07 11:02:32 PST,DEPLETING,+156.205,+3.78239,ONEZNODE,+0,+119.987,+0
2021-02-07 11:02:33 PST,DEPLETING,+156.205,+3.78239,ONEZNODE,+0,+119.987,+0
2021-02-07 11:02:34 PST,DEPLETING,+156.204,+3.78239,ONEZNODE,+0,+119.987,+0
2021-02-07 11:02:35 PST,DEPLETING,+156.203,+3.78239,ONEZNODE,+0,+119.987,+0
2021-02-07 11:02:36 PST,DEPLETING,+156.202,+3.78239,ONEZNODE,+0,+119.987,+0
2021-02-07 11:02:37 PST,DEPLETING,+156.201,+3.78239,ONEZNODE,+0,+119.987,+0
2021-02-07 11:02:38 PST,DEPLETING,+156.2,+3.78239,ONEZNODE,+0,+119.987,+0
2021-02-07 11:02:39 PST,DEPLETING,+156.199,+3.78239,ONEZNODE,+0,+119.987,+0
2021-02-07 11:02:40 PST,DEPLETING,+156.198,+3.78239,ONEZNODE,+0,+119.986,+0
2021-02-07 11:02:41 PST,DEPLETING,+156.197,+3.78239,ONEZNODE,+0,+119.986,+0
2021-02-07 11:02:42 PST,DEPLETING,+156.196,+3.78239,ONEZNODE,+0,+119.986,+0
2021-02-07 11:02:43 PST,DEPLETING,+156.196,+3.78239,ONEZNODE,+0,+119.986,+0
2021-02-07 11:02:44 PST,DEPLETING,+156.195,+3.78239,ONEZNODE,+0,+119.986,+0
2021-02-07 11:02:45 PST,DEPLETING,+156.194,+3.78239,ONEZNODE,+0,+119.986,+0
2021-02-07 11:02:46 PST,DEPLETING,+156.193,+3.78239,ONEZNODE,+0,+119.986,+0
2021-02-07 11:02:47 PST,DEPLETING,+156.192,+3.78239,ONEZNODE,+0,+119.986,+0
2021-02-07 11:02:48 PST,DEPLETING,+156.191,+3.78239,ONEZNODE,+0,+119.986,+0
2021-02-07 11:02:49 PST,DEPLETING,+156.19,+3.78239,ONEZNODE,+0,+119.986,+0
2021-02-07 11:02:50 PST,DEPLETING,+156.189,+3.78239,ONEZNODE,+0,+119.985,+0
2021-02-07 11:02:51 PST,DEPLETING,+156.189,+3.78239,ONEZNODE,+0,+119.985,+0
2021-02-07 11:02:52 PST,DEPLETING,+156.188,+3.78239,ONEZNODE,+0,+119.985,+0
2021-02-07 11:02:53 PST,DEPLETING,+156.187,+3.78239,ONEZNODE,+0,+119.985,+0
2021-02-07 11:02:54 PST,DEPLETING,+156.186,+3.78239,ONEZNODE,+0,+119.985,+0
2021-02-07 11:02:55 PST,DEPLETING,+156.185,+3.78239,ONEZNODE,+0,+119.985,+0
2021-02-07 11:02:56 PST,DEPLETING,+156.184,+3.78239,ONEZNODE,+0,+119.985,+0
2021-02-07 11:02:57 PST,DEPLETING,+156.183,+3.78239,ONEZNODE,+0,+119.985,+0
2021-02-07 11:02:58 PST,DEPLETING,+156.182,+3.78239,ONEZNODE,+0,+119.985,+0
2021-02-07 11:02:59 PST,DEPLETING,+156.182,+3.78239,ONEZNODE,+0,+119.984,+0
2021-02-07 11:03:00 PST,DEPLETING,+156.181,+3.78239,ONEZNODE,+0,+119.984,+0
2021-02-07 11:03:01 PST,DEPLETING,+156.18,+3.78239,ONEZNODE,+0,+119.984,+0
2021-02-07 11:03:02 PST,DEPLETING,+156.179,+3.78239,ONEZNODE,+0,+119.984,+0
2021-02-07 11:03:03 PST,DEPLETING,+156.178,+3.78239,ONEZNODE,+0,+119.984,+0
2021-02-07 11:03:04 PST,DEPLETING,+156.177,+3.78239,ONEZNODE,+0,+119.984,+0
2021-02-07 11:03:05 PST,DEPLETING,+156.176,+3.78239,ONEZNODE,+0,+119.984,+0
2021-02-07 11:03:06 PST,DEPLETING,+156.176,+3.78239,ONEZNODE,+0,+119.984,+0
